"","SPECIES","TAXONNAME","FAMILY","COMMON_FAMILY","CONSUMER_GROUP","LW_A","LW_B","LMAX","LENGTH_CONVERSION_FACTOR"
"1","ELBI","Elagatis bipinnulata","Carangidae","Jack","PISCIVORE",0.0135,2.92,180,0.77
"2","SPLE","Sphyrna lewini","Sphyrnidae","Hammerhead","PISCIVORE",0.00415,3.2387,400,0.77
"3","HAMM","Sphyrnidae","Sphyrnidae","Hammerhead","PISCIVORE",0.0042,3.239,600,0.77
"4","GEWA","Genicanthus watanabei","Pomacanthidae","Angelfish","PLANKTIVORE",0.0669,2.724,15,0.78
"5","NEFE","Nebrius ferrugineus","Ginglymostomatidae","Nurse","PISCIVORE",0.001,3.566,320,0.782
"6","TROB","Triaenodon obesus","Carcharhinidae","Requiem","PISCIVORE",0.0018,3.34393,213,0.8
"7","ACMA","Acanthurus maculiceps","Acanthuridae","Surgeonfish","PRIMARY",0.027,2.945,41,0.83
"8","NEME","Neopomacentrus metallicus","Pomacentridae","Damselfish","PLANKTIVORE",0.0258,2.933,8,0.84
"9","PSBI","Pseudanthias bicolor","Serranidae","Anthias","PLANKTIVORE",0.0155,3.121,13,0.84
"10","ACNI","Acanthurus nigricauda","Acanthuridae","Surgeonfish","PRIMARY",0.01678,3.16772,40,0.84
"11","CHCH","Chanos chanos","Chanidae","Milkfish","PRIMARY",0.00474,3.38911,180,0.84
"12","CHWE","Chromis weberi","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,12,0.85
"13","PSTH","Pseudanthias thompsoni","Serranidae","Anthias","PLANKTIVORE",0.0155,3.121,22,0.85
"14","CAAB","Carcharhinus amblyrhynchos","Carcharhinidae","Requiem","PISCIVORE",0.0023,3.373,240,0.85
"15","CAGA","Carcharhinus galapagensis","Carcharhinidae","Requiem","PISCIVORE",0.0023,3.373,370,0.85
"16","POPA","Pomacentrus pavo","Pomacentridae","Damselfish","PLANKTIVORE",0.02518,2.97153,11,0.86
"17","CACE","Caesio caerulaurea","Caesionidae","Fusilier","PLANKTIVORE",0.01996,2.99141,35,0.86
"18","ACOL","Acanthurus olivaceus","Acanthuridae","Surgeonfish","PRIMARY",0.03839,3.055,40,0.86
"19","SEOX","Sectator ocyurus","Kyphosidae","Chub","PRIMARY",0.0129,3.151,59,0.86
"20","CAFE","Carangoides ferdau","Carangidae","Jack","PISCIVORE",0.03683,2.85116,70,0.86
"21","CHFU","Chromis fumea","Pomacentridae","Damselfish","PLANKTIVORE",0.0144,3.351,10,0.8695
"22","CHCA","Chromis caudalis","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,9,0.87
"23","ECMI","Ecsenius midas","Blenniidae","Blenny","PLANKTIVORE",0.0239,2.584,10,0.87
"24","PLLD","Plagiotremus laudandus laudandus","Blenniidae","Blenny","SECONDARY",0.0018,3.581,10,0.87
"25","ANTH","Anthias sp","Serranidae","Anthias","PLANKTIVORE",0.01369,3.14874,14,0.87
"26","PTTR","Pterocaesio trilineata","Caesionidae","Fusilier","PLANKTIVORE",0.01065,3.17784,20,0.87
"27","ACTR","Acanthurus triostegus","Acanthuridae","Surgeonfish","PRIMARY",0.08306,2.56968,27,0.87
"28","ACXA","Acanthurus xanthopterus","Acanthuridae","Surgeonfish","PRIMARY",0.02673,2.98449,65,0.87
"29","VAAL","Variola albimarginata","Serranidae","Grouper","PISCIVORE",0.02414142,3.06625252,65,0.87
"30","CHTE","Chromis ternatensis","Pomacentridae","Damselfish","PLANKTIVORE",0.01597,3.408,8,0.88
"31","ABSX","Abudefduf sexfasciatus","Pomacentridae","Damselfish","PLANKTIVORE",0.02128,3.15197,15,0.88
"32","CHOV","Chromis ovalis","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,19,0.88
"33","MYVI","Myripristis vittata","Holocentridae","Soldierfish","PLANKTIVORE",0.0276,3.03,20,0.88
"34","MYKU","Myripristis kuntee","Holocentridae","Soldierfish","PLANKTIVORE",0.00991,3.46765,23,0.88
"35","SCFR","Scarus frenatus","Scaridae","Parrotfish","PRIMARY",0.03203348,3.06,47,0.88
"36","SCLY","Scomberoides lysan","Carangidae","Jack","PISCIVORE",0.01085,2.92302,70,0.88
"37","NAHE","Naso hexacanthus","Acanthuridae","Surgeonfish","PLANKTIVORE",0.04244108,2.854,75,0.88
"38","VALO","Variola louti","Serranidae","Grouper","PISCIVORE",0.01219,3.07913,83,0.88
"39","ABNO","Abudefduf notatus","Pomacentridae","Damselfish","PLANKTIVORE",0.02947836,3.15196904,18,0.884
"40","CAPP","Caranx papuensis","Carangidae","Jack","PISCIVORE",0.02354,2.923,88,0.8849558
"41","CHHA","Chromis hanui","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,9,0.89
"42","PSCO","Pseudanthias cooperi","Serranidae","Anthias","PLANKTIVORE",0.0155,3.121,14,0.89
"43","THLU","Thalassoma lutescens","Labridae","Wrasse","SECONDARY",0.013,3.04186,25,0.89
"44","THDQ","Thalassoma duperrey/quinquevittatum hybrid","Labridae","Wrasse","SECONDARY",0.0123,3.097,25,0.89
"45","ABAB","Abudefduf abdominalis","Pomacentridae","Damselfish","PLANKTIVORE",0.0226,3.132,25,0.89
"46","MYAM","Myripristis amaena","Holocentridae","Soldierfish","PLANKTIVORE",0.01576,3.26114,32,0.89
"47","MYSP","Myripristinae","Holocentridae","Soldierfish","PLANKTIVORE",0.02762,3.03041,35,0.89
"48","SIPN","Siganus punctatus","Siganidae","Rabbitfish","PRIMARY",0.00949,3.27616,36.5,0.89
"49","LUGI","Lutjanus gibbus","Lutjanidae","Snapper","SECONDARY",0.01309,3.13752,53,0.89
"50","MOGR","Monotaxis grandoculis","Lethrinidae","Emperor","SECONDARY",0.02296,3.02223,63,0.89
"51","CAOR","Carangoides orthogrammus","Carangidae","Jack","PISCIVORE",0.01559,3.02562,70,0.89
"52","CAME","Caranx melampygus","Carangidae","Jack","PISCIVORE",0.02866,2.974,117,0.89
"53","JACK","Carangidae","Carangidae","Jack","PISCIVORE",0.00833,3.19724,160,0.89
"54","CAIG","Caranx ignobilis","Carangidae","Jack","PISCIVORE",0.023,2.977,165,0.89
"55","CASP","Caranx sp","Carangidae","Jack","PISCIVORE",0.01983,2.98605,165,0.89
"56","SPBA","Sphyraena barracuda","Sphyraenidae","Barracuda","PISCIVORE",0.00617,3.01095,200,0.89
"57","GYUC","Gymnosarda unicolor","Scombridae","Tuna","PISCIVORE",0.0105,3.065,248,0.89
"58","CHIO","Chromis iomelas","Pomacentridae","Damselfish","PRIMARY",0.01505,3.38293,8,0.9
"59","ATIN","Atherinomorus insularum","Atherinidae","Silverside","PLANKTIVORE",0.0064,3.298,9,0.9
"60","PLSI","Plectroglyphidodon sindonis","Pomacentridae","Damselfish","PRIMARY",0.0297,2.936,12.5,0.9
"61","THSP","Thalassoma sp","Labridae","Wrasse","SECONDARY",0.01231,3.09702,17.6,0.9
"62","PACH","Parupeneus chrysonemus","Mullidae","Goatfish","SECONDARY",0.01136,3.21082,22,0.9
"63","NEAU","Neoniphon aurolineatus","Holocentridae","Soldierfish","SECONDARY",0.0288,2.867,23,0.9
"64","THLN","Thalassoma lunare","Labridae","Wrasse","PLANKTIVORE",0.0211,2.83173999,25,0.9
"65","MYCH","Myripristis chryseres","Holocentridae","Soldierfish","PLANKTIVORE",0.0276,3.03,25,0.9
"66","THDU","Thalassoma duperrey","Labridae","Wrasse","SECONDARY",0.0123,3.097,26,0.9
"67","SECR","Selar crumenophthalmus","Carangidae","Jack","PLANKTIVORE",0.0097,3.19378,30,0.9
"68","UPTA","Upeneus taeniopterus","Mullidae","Goatfish","SECONDARY",0.0103,3.215,33,0.9
"69","PACR","Parupeneus crassilabris","Mullidae","Goatfish","SECONDARY",0.0145,3.13,35,0.9
"70","PAMU","Parupeneus multifasciatus","Mullidae","Goatfish","SECONDARY",0.01136,3.21082,38,0.9
"71","SIAR","Siganus argenteus","Siganidae","Rabbitfish","PRIMARY",0.0109,3.15419,42,0.9
"72","ACLU","Acanthurus leucocheilus","Acanthuridae","Surgeonfish","PRIMARY",0.0261,3.024,45,0.9
"73","PABA","Parupeneus barberinus","Mullidae","Goatfish","SECONDARY",0.01307,3.12248999,50,0.9
"74","GOAT","Mullidae","Mullidae","Goatfish","SECONDARY",0.00743,3.29344,50,0.9
"75","ACSP","Acanthurus sp","Acanthuridae","Surgeonfish","PRIMARY",0.02803,2.98288,57,0.9
"76","MYMU","Myripristis murdjan","Holocentridae","Soldierfish","PLANKTIVORE",0.0276,3.03,60,0.9
"77","SURG","Acanthuridae","Acanthuridae","Surgeonfish","PRIMARY",0.02803,2.98288,70,0.9
"78","LEAM","Lethrinus amboinensis","Lethrinidae","Emperor","SECONDARY",0.0165,3.043,70,0.9
"79","NABH","Naso brachycentron","Acanthuridae","Surgeonfish","PRIMARY",0.02656209,3.0354541,90,0.9
"80","CALU","Caranx lugubris","Carangidae","Jack","PISCIVORE",0.0198,3.001,100,0.9
"81","APVI","Aprion virescens","Lutjanidae","Snapper","PISCIVORE",0.02297,2.88627,112,0.9
"82","PSDE","Pseudocaranx dentex","Carangidae","Jack","PISCIVORE",0.0271,2.88598,122,0.9
"83","MYVL","Myripristis violacea","Holocentridae","Soldierfish","SECONDARY",0.0364,2.94,30,0.905
"84","SAOR","Sarda orientalis","Scombridae","Tuna","PISCIVORE",0.0217,2.97,102,0.906
"85","PORI","Pomachromis richardsoni","Pomacentridae","Damselfish","PLANKTIVORE",0.028,3.024,6,0.91
"86","CHLC","Chromis leucura","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,6.5,0.91
"87","CHVR","Chromis viridis","Pomacentridae","Damselfish","PLANKTIVORE",0.03507,2.89965,8,0.91
"88","CTBI","Ctenochaetus binotatus","Acanthuridae","Surgeonfish","PRIMARY",0.03916,2.87463,22,0.91
"89","ACNF","Acanthurus nigrofuscus","Acanthuridae","Surgeonfish","PRIMARY",0.02637,3.02837,23,0.91
"90","SAEN","Sargocentron ensifer","Holocentridae","Soldierfish","SECONDARY",0.0219,3.047,25,0.91
"91","CTSR","Ctenochaetus striatus","Acanthuridae","Surgeonfish","PRIMARY",0.02313,3.06347,28,0.91
"92","GNAU","Gnathodentex aureolineatus","Lethrinidae","Emperor","SECONDARY",0.02695338,3.06254326,30,0.91
"93","SOLD","Holocentridae","Holocentridae","Soldierfish","SECONDARY",0.0222,3.05893,31.5,0.91
"94","ACAL","Acanthurus albipectoralis","Acanthuridae","Surgeonfish","PRIMARY",0.028,2.983,33,0.91
"95","NESP","Neoniphon sp","Holocentridae","Soldierfish","SECONDARY",0.02879,2.86715,35,0.91
"96","LERU","Lethrinus rubrioperculatus","Lethrinidae","Emperor","SECONDARY",0.01279,3.10807,39.5,0.91
"97","GOVI","Goniistius vittatus","Cheilodactylidae","Morwong","SECONDARY",0.0237,3.056,41,0.91
"98","CASE","Caranx sexfasciatus","Carangidae","Jack","PISCIVORE",0.0198,2.986,100,0.91
"99","GYMI","Gymnocranius microdon","Lethrinidae  ","Emperor","SECONDARY",0.0225,3.001,45,0.919
"100","POGU","Pomachromis guamensis","Pomacentridae","Damselfish","PLANKTIVORE",0.0209,3.191,6,0.92
"101","CHLE","Chromis lepidolepis","Pomacentridae","Damselfish","PLANKTIVORE",0.19498,1.9385,8,0.92
"102","PSHW","Pseudanthias ventralis hawaiiensis","Serranidae","Anthias","PLANKTIVORE",0.0209,3.191,10,0.92
"103","AMCU","Amblyglyphidodon curacao","Pomacentridae","Damselfish","SECONDARY",0.0126,3.43508,10.5,0.92
"104","PLLE","Plectroglyphidodon leucozonus","Pomacentridae","Damselfish","PRIMARY",0.0297,2.936,12,0.92
"105","SADI","Sargocentron diadema","Holocentridae","Soldierfish","SECONDARY",0.02505,2.95522,17,0.92
"106","DAMS","Pomacentridae","Pomacentridae","Damselfish","SECONDARY",0.02091,3.1908,17.8,0.92
"107","NEAG","Neoniphon argenteus","Holocentridae","Soldierfish","SECONDARY",0.031649,2.82326,18.2,0.92
"108","MYEA","Myripristis earlei","Holocentridae","Soldierfish","SECONDARY",0.02769,3.00336,24,0.92
"109","CTSP","Ctenochaetus sp","Acanthuridae","Surgeonfish","PRIMARY",0.02371,3.05581,30,0.92
"110","MUMI","Mulloidichthys mimicus","Mullidae","Goatfish","SECONDARY",0.0074,3.293,30,0.92
"111","NESA","Neoniphon sammara","Holocentridae","Soldierfish","SECONDARY",0.02762,2.88835,32,0.92
"112","MYBE","Myripristis berndti","Holocentridae","Soldierfish","PLANKTIVORE",0.02769,3.00336,33,0.92
"113","XACA","Xanthichthys caeruleolineatus","Balistidae","Triggerfish","PLANKTIVORE",0.019,3.078,35,0.92
"114","SPQE","Sphyraena qenie","Sphyraenidae","Barracuda","PISCIVORE",0.0056,3,170,0.92
"115","ECBC","Ecsenius bicolor","Blenniidae","Blenny","PLANKTIVORE",0.02391,2.58307,10,0.93
"116","APKA","Apogon kallopterus","Apogonidae","Cardinalfish","PLANKTIVORE",0.0101,3.31416,12,0.93
"117","STSP","Stegastes sp","Pomacentridae","Damselfish","PRIMARY",0.03954,2.9891,15.5,0.93
"118","SAXA","Sargocentron xantherythrum","Holocentridae","Soldierfish","SECONDARY",0.0219,3.047,17,0.93
"119","THHA","Thalassoma hardwicke","Labridae","Wrasse","PLANKTIVORE",0.01783,2.97765,20,0.93
"120","KUSA","Kuhlia sandvicensis","Kuhliidae","Aholehole","PLANKTIVORE",0.016,3.034,21.4,0.93
"121","ABSP","Abudefduf septemfasciatus","Pomacentridae","Damselfish","PRIMARY",0.02947836,3.15196904,23,0.93
"122","LEHA","Lethrinus harak","Lethrinidae","Emperor","SECONDARY",0.01701,3.04226,32,0.93
"123","ACBL","Acanthurus blochii","Acanthuridae","Surgeonfish","PRIMARY",0.02506,3.03193,43,0.93
"124","SAPP","Sargocentron sp","Holocentridae","Soldierfish","SECONDARY",0.02192,3.04739,50,0.93
"125","SASP","Sargocentron spiniferum","Holocentridae","Soldierfish","SECONDARY",0.01541,3.11881,52,0.93
"126","EPIN","Epibulus insidiator","Labridae","Wrasse","SECONDARY",0.01614,3.08102,54,0.93
"127","ACDU","Acanthurus dussumieri","Acanthuridae","Surgeonfish","PRIMARY",0.04256,2.86826,56,0.93
"128","BAPO","Balistes polylepis","Balistidae","Triggerfish","SECONDARY",0.019,3.078,76,0.93
"129","CHMC","Chlorurus microrhinos","Scaridae","Parrotfish","PRIMARY",0.0273,2.93,80,0.93
"130","SPHE","Sphyraena helleri","Sphyraenidae","Barracuda","PISCIVORE",0.00561,3.019,80,0.93
"131","EMPE","Lethrinidae","Lethrinidae","Emperor","SECONDARY",0.01693,3.04011,86,0.93
"132","LETH","Lethrinus sp","Lethrinidae","Emperor","SECONDARY",0.0165,3.04343,86,0.93
"133","SPDE","Spratelloides delicatulus","Clupeidae","Herring etc","PLANKTIVORE",0.00929,3.314,7,0.94
"134","ENPU","Encrasicholina purpurea","Engraulidae","Anchovy","PLANKTIVORE",0.00929,3.314,8,0.94
"135","APAN","Apogon angustatus","Apogonidae","Cardinalfish","PLANKTIVORE",0.00493,3.78006,9,0.94
"136","PLRH","Plagiotremus rhinorhynchos","Blenniidae","Blenny","SECONDARY",0.0012,3.792,10,0.94
"137","STNI","Stegastes nigricans","Pomacentridae","Damselfish","PRIMARY",0.03841,3.01,14,0.94
"138","SAMI","Sargocentron microstoma","Holocentridae","Soldierfish","SECONDARY",0.0219,3.047,20,0.94
"139","CHMD","Cheilodipterus macrodon","Apogonidae","Cardinalfish","PISCIVORE",0.0054,3.4328,20,0.94
"140","LIZA","Synodontidae","Synodontidae","Lizardfishes","PISCIVORE",0.00848,3.0777,22,0.94
"141","SAGR","Saurida gracilis","Synodontidae","Lizardfishes","PISCIVORE",0.00657,3.16493,23,0.94
"142","SYUL","Synodus ulae","Synodontidae","Lizardfishes","PISCIVORE",0.0085,3.078,30,0.94
"143","HYAC","Hyporhamphus acutus acutus","Hemiramphidae","Halfbeak","PLANKTIVORE",7e-04,3.575,30,0.94
"144","SAFL","Saurida flamma","Synodontidae","Lizardfishes","PISCIVORE",0.008,3.059,30.5,0.94
"145","ACMT","Acanthurus mata","Acanthuridae","Surgeonfish","PLANKTIVORE",0.02224,3.00795,50,0.94
"146","SCXA","Scarus xanthopleura","Scaridae","Parrotfish","PRIMARY",0.0188,3.026,55,0.94
"147","PSFU","Pseudobalistes fuscus","Balistidae","Triggerfish","SECONDARY",0.07255,2.76028,58,0.94
"148","NAMA","Naso maculatus","Acanthuridae","Surgeonfish","PLANKTIVORE",0.0202,2.956,60,0.94
"149","LEXA","Lethrinus xanthochilus","Lethrinidae","Emperor","PISCIVORE",0.02007,2.9639,62,0.94
"150","THAL","Thunnus albacares","Scombridae","Tuna","PISCIVORE",0.0214,2.974,210,0.94
"151","TUNA","Scombridae","Scombridae","Tuna","PISCIVORE",0.00572,3.34,245,0.94
"152","PONR","Pomacentrus nigriradiatus","Pomacentridae","Damselfish","PLANKTIVORE",0.0231,3.058,10,0.945
"153","POPH","Pomacentrus philippinus","Pomacentridae","Damselfish","PLANKTIVORE",0.0231,3.058,10,0.945
"154","DARE","Dascyllus reticulatus","Pomacentridae","Damselfish","PLANKTIVORE",0.03111,3.13271,8,0.95
"155","APNO","Apogon novemfasciatus","Apogonidae","Cardinalfish","PLANKTIVORE",0.00863,3.41355,9.5,0.95
"156","POVA","Pomacentrus vaiuli","Pomacentridae","Damselfish","PLANKTIVORE",0.0472,2.77525,10,0.95
"157","PLEW","Plagiotremus ewaensis","Blenniidae","Blenny","SECONDARY",0.0018,3.581,10,0.95
"158","APMA","Apogon maculiferus","Apogonidae","Cardinalfish","PLANKTIVORE",0.0155,3.121,14,0.95
"159","APSP","Apogon sp","Apogonidae","Cardinalfish","PLANKTIVORE",0.01545,3.12126,16,0.95
"160","CARD","Apogonidae","Apogonidae","Cardinalfish","PLANKTIVORE",0.01545,3.12126,16,0.95
"161","CHSP","Cheilodipterus sp","Apogonidae","Cardinalfish","SECONDARY",0.01318,3.08477,18,0.95
"162","CHVE","Chromis verater","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,22,0.95
"163","SYDE","Synodus dermatogenys","Synodontidae","Lizardfishes","PISCIVORE",0.0067,3.201,24,0.95
"164","CTMA","Ctenochaetus marginatus","Acanthuridae","Surgeonfish","PRIMARY",0.0237,3.056,29,0.95
"165","RABB","Siganidae","Siganidae","Rabbitfish","PRIMARY",0.01448,3.12169,38,0.95
"166","LUKA","Lutjanus kasmira","Lutjanidae","Snapper","SECONDARY",0.00842,3.24696,40,0.95
"167","SCFE","Scarus festivus","Scaridae","Parrotfish","PRIMARY",0.0222,2.971,45,0.95
"168","KYVA","Kyphosus vaigiensis","Kyphosidae","Chub","PRIMARY",0.01998,3.03696,60,0.95
"169","CHUB","Kyphosus sp","Kyphosidae","Chub","PRIMARY",0.01285,3.15059,75,0.95
"170","NASP","Naso sp","Acanthuridae","Surgeonfish","PLANKTIVORE",0.00848,3.24964,75,0.95
"171","NAAN","Naso annulatus","Acanthuridae","Surgeonfish","PLANKTIVORE",0.05103,2.71537,100,0.95
"172","KAPE","Katsuwonus pelamis","Scombridae","Tuna","PISCIVORE",0.0162,2.856,110,0.95
"173","LEER","Lethrinus erythracanthus","Lethrinidae","Emperor","SECONDARY",0.0165,3.043,70,0.959
"174","CHTY","Chrysiptera traceyi","Pomacentridae","Damselfish","PRIMARY",0.026,2.926,4.5,0.96
"175","DAAR","Dascyllus aruanus","Pomacentridae","Damselfish","PLANKTIVORE",0.04151,2.98888,8,0.96
"176","APAP","Apogon apogonoides","Apogonidae","Cardinalfish","PLANKTIVORE",0.0155,3.121,10,0.96
"177","CHQN","Cheilodipterus quinquelineatus","Apogonidae","Cardinalfish","SECONDARY",0.01607,2.99923,12,0.96
"178","AMCL","Amphiprion clarkii","Pomacentridae","Damselfish","PLANKTIVORE",0.0189,3.19,14,0.96
"179","PASC","Parapercis schauinslandii","Pinguipedidae","Sandperch","SECONDARY",0.0133,2.943,18,0.96
"180","CHAR","Cheilodipterus artus","Apogonidae","Cardinalfish","SECONDARY",0.0038,3.59,18.7,0.96
"181","ZACO","Zanclus cornutus","Zanclidae","Moorish idol","SECONDARY",0.0147,3.36990999,20,0.96
"182","SNDP","Parapercis sp","Pinguipedidae","Sandperch","SECONDARY",0.01331,2.94268,23,0.96
"183","SYVA","Synodus variegatus","Synodontidae","Lizardfishes","PISCIVORE",0.00314,3.4838,24,0.96
"184","LUFU","Lutjanus fulvus","Lutjanidae","Snapper","SECONDARY",0.02106,2.97433,43,0.96
"185","NAUN","Naso unicornis","Acanthuridae","Surgeonfish","PRIMARY",0.01788,3.03545,70,0.96
"186","PLPI","Plectorhinchus picus","Haemulidae","Grunt","SECONDARY",0.01151,3.08892,85,0.96
"187","LUBO","Lutjanus bohar","Lutjanidae","Snapper","PISCIVORE",0.01563,3.05865,90,0.96
"188","NEED","Belonidae","Belonidae","Needlefish","PISCIVORE",0.00075,3.20315,100,0.96
"189","APLU","Apogon luteus","Apogonidae","Cardinalfish","PLANKTIVORE",0.0155,3.121,5,0.97
"190","CHTA","Chrysiptera taupou","Pomacentridae","Damselfish","PRIMARY",0.02199,3.00115,8,0.97
"191","APFR","Apogon fraenatus","Apogonidae","Cardinalfish","PLANKTIVORE",0.01302,3.16529,11,0.97
"192","OXTY","Oxycirrhites typus","Cirrhitidae","Hawkfish","PLANKTIVORE",0.00929,3.268,13,0.97
"193","PSAU","Pseudocoris aurantiofasciata","Labridae","Wrasse","SECONDARY",0.0107,3.178,20,0.97
"194","GEPE","Genicanthus personatus","Pomacanthidae","Angelfish","PLANKTIVORE",0.0669,2.724,25,0.97
"195","SCFU","Scarus fuscocaudalis","Scaridae","Parrotfish","PRIMARY",0.0222,2.971,25,0.97
"196","SISI","Siganus spinus","Siganidae","Rabbitfish","PRIMARY",0.015,3.093,28,0.97
"197","SCPS","Scarus psittacus","Scaridae","Parrotfish","PRIMARY",0.01045,3.31871,33,0.97
"198","SCDU","Scarus dubius","Scaridae","Parrotfish","PRIMARY",0.0222,2.971,38,0.97
"199","NALI","Naso lituratus","Acanthuridae","Surgeonfish","PRIMARY",0.0085,3.25,46,0.97
"200","LEOB","Lethrinus obsoletus","Lethrinidae","Emperor","SECONDARY",0.01733,3.02583,50,0.97
"201","PARR","Scaridae","Scaridae","Parrotfish","PRIMARY",0.02337,2.95646,68,0.97
"202","EVAC","Evistias acutirostris","Pentacerotidae","Armorhead","SECONDARY",0.0301,2.946,90,0.97
"203","SCGH","Scarus ghobban","Scaridae","Parrotfish","PRIMARY",0.0165,3.04116,90,0.97
"204","LEOL","Lethrinus olivaceus","Lethrinidae","Emperor","PISCIVORE",0.02936,2.85064,100,0.97
"205","CLSP","Chlorurus sp","Scaridae","Parrotfish","PRIMARY",0.0222,2.971,100,0.97
"206","PLLV","Plectropomus laevis","Serranidae","Grouper","PISCIVORE",0.00591,3.23774,125,0.97
"207","SCSP","Scarus sp","Scaridae","Parrotfish","PRIMARY",0.02337,2.95646,130,0.97
"208","TYCR","Tylosurus crocodilus","Belonidae","Needlefish","PISCIVORE",0.00057,3.28481,135,0.97
"209","PLTA","Plagiotremus tapeinosoma","Blenniidae","Blenny","SECONDARY",0.00566,2.90832,10,0.98
"210","PLGO","Plagiotremus goslinei","Blenniidae","Blenny","SECONDARY",0.0018,3.581,10,0.98
"211","PTMI","Ptereleotris microlepis","Ptereleotridae","Dartfish","PLANKTIVORE",0.0059,3.231,13,0.98
"212","DATR","Dascyllus trimaculatus","Pomacentridae","Damselfish","PLANKTIVORE",0.03132,3.04325,14,0.98
"213","PAHP","Paracanthurus hepatus","Acanthuridae","Surgeonfish","PLANKTIVORE",0.0237,3.056,31,0.98
"214","PRME","Priacanthus meeki","Priacanthidae","Bigeye","PLANKTIVORE",0.0294,2.8069,33,0.98
