"","SPECIES","TAXONNAME","FAMILY","COMMON_FAMILY","CONSUMER_GROUP","LW_A","LW_B","LMAX","LENGTH_CONVERSION_FACTOR"
"215","LUSE","Lutjanus semicinctus","Lutjanidae","Snapper","PISCIVORE",0.00398,3.42802,35,0.98
"216","SCSC","Scarus schlegeli","Scaridae","Parrotfish","PRIMARY",0.02306,2.96919,38,0.98
"217","THBA","Thalassoma ballieui","Labridae","Wrasse","SECONDARY",0.0123,3.097,43,0.98
"218","SCNI","Scarus niger","Scaridae","Parrotfish","PRIMARY",0.01335,3.15996,43,0.98
"219","PLAR","Platybelone argalus","Belonidae","Needlefish","PISCIVORE",0.0011,3.101,50,0.98
"220","LUMO","Lutjanus monostigma","Lutjanidae","Snapper","PISCIVORE",0.02218,2.91252,60,0.98
"221","SCAL","Scarus altipinnis","Scaridae","Parrotfish","PRIMARY",0.0184,3.02932,60,0.98
"222","ACSO","Acanthocybium solandri","Scombridae","Mackerel","PISCIVORE",0.0025,3.19,250,0.98
"223","AMME","Amphiprion melanopus","Pomacentridae","Damselfish","PLANKTIVORE",0.01545,3.29798,10.8,0.99
"224","PSYA","Pseudocoris yamashiroi","Labridae","Wrasse","PLANKTIVORE",0.0107,3.178,16,0.99
"225","PSHT","Pseudocoris heteroptera","Labridae","Wrasse","SECONDARY",0.0107,3.178,20,0.99
"226","BIGE","Priacanthus sp","Priacanthidae","Bigeye","PLANKTIVORE",0.02939,2.80679,38,0.99
"227","HOAN","Hologymnosus annulatus","Labridae","Wrasse","SECONDARY",0.0065,3.25441,40,0.99
"228","WRAS","Labridae","Labridae","Wrasse","SECONDARY",0.01067,3.17765,93,0.99
"229","CATY","Caracanthus typicus","Caracanthidae","Velvetfish","SECONDARY",0.0089,3.323,2.9,1
"230","EVSP","Eviota sp","Gobiidae","Goby","SECONDARY",0.012,2.986,3.5,1
"231","CAMC","Caracanthus maculatus","Caracanthidae","Velvetfish","SECONDARY",0.0337,3,5,1
"232","PLIM","Plectroglyphidodon imparipennis","Pomacentridae","Damselfish","SECONDARY",0.0612,2.691,6,1
"233","LUWH","Luzonichthys whitleyi","Serranidae","Anthias","PLANKTIVORE",0.00959,3,6,1
"234","CHAC","Chromis acares","Pomacentridae","Damselfish","PLANKTIVORE",0.0258,3,6,1
"235","FUDU","Fusigobius duospilus","Gobiidae","Goby","SECONDARY",0.0096,3.0187,6,1
"236","NEHE","Nemateleotris helfrichi","Microdesmidae","Dartfish","PLANKTIVORE",0.0091,3,6.3,1
"237","POCO","Pomacentrus coelestis","Pomacentridae","Damselfish","PLANKTIVORE",0.037,2.63,7,1
"238","PIPO","Pictichromis porphyreus","Pseudochromidae","Dottyback","SECONDARY",0.0218,2.752,7,1
"239","CHBI","Chrysiptera biocellata","Pomacentridae","Damselfish","PRIMARY",0.0239,3,7,1
"240","CEFI","Centropyge fisheri","Pomacanthidae","Angelfish","PRIMARY",0.0745,2.577,7.5,1
"241","CIHU","Cirrhitops hubbardi","Cirrhitidae","Hawkfish","SECONDARY",0.00929,3.268,7.5,1
"242","AMFA","Amblyeleotris fasciata","Gobiidae","Goby","PLANKTIVORE",0.0264,2.623,8,1
"243","SECY","Sebastapistes cyanostigma","Scorpaenidae","Scorpionfish","SECONDARY",0.0246,2.908,8,1
"244","CHCY","Chrysiptera cyanea","Pomacentridae","Damselfish","PLANKTIVORE",0.0294,2.95049999,8,1
"245","PSHE","Pseudocheilinus hexataenia","Labridae","Wrasse","SECONDARY",0.0167,3,8,1
"246","CHGL","Chrysiptera glauca","Pomacentridae","Damselfish","PRIMARY",0.0217,3,8,1
"247","CHMA","Chromis margaritifer","Pomacentridae","Damselfish","PLANKTIVORE",0.0258,3,8,1
"248","CHAM","Chromis amboinensis","Pomacentridae","Damselfish","PRIMARY",0.0258,3,8,1
"249","PSTE","Pseudocheilinus tetrataenia","Labridae","Wrasse","SECONDARY",0.0138,3.1563,8,1
"250","LAPE","Labroides pectoralis","Labridae","Wrasse","SECONDARY",0.0058,3.171,8,1
"251","WENI","Wetmorella nigropinnata","Labridae","Wrasse","SECONDARY",0.01067,3.17765,8,1
"252","DOTT","Pseudochromis sp","Pseudochromidae","Dottyback","SECONDARY",0.00956,3.16714,8.1,1
"253","PEMA","Pervagor marginalis","Monacanthidae","Filefish","SECONDARY",0.025,2.946,8.2,1
"254","PLPH","Plectroglyphidodon phoenixensis","Pomacentridae","Damselfish","PRIMARY",0.0612,2.691,8.5,1
"255","CHAL","Chromis alpha","Pomacentridae","Damselfish","PLANKTIVORE",0.0202,2.9595,8.5,1
"256","CESH","Centropyge shepardi","Pomacanthidae","Angelfish","PRIMARY",0.0745,2.577,9,1
"257","CAJA","Canthigaster jactator","Tetraodontidae","Pufferfish","PRIMARY",0.0424,2.822,9,1
"258","CAJN","Canthigaster janthinoptera","Tetraodontidae","Pufferfish","PRIMARY",0.0424,2.822,9,1
"259","CAVA","Canthigaster valentini","Tetraodontidae","Pufferfish","PRIMARY",0.03667,2.94319,9,1
"260","CHBR","Chrysiptera brownriggii","Pomacentridae","Damselfish","PRIMARY",0.0294,2.95049999,9,1
"261","CIFL","Cirrhitichthys falco","Cirrhitidae","Hawkfish","SECONDARY",0.0172,2.977,9,1
"262","NEMA","Nemateleotris magnifica","Microdesmidae","Dartfish","PLANKTIVORE",0.0091,3,9,1
"263","PSBA","Pseudanthias bartlettorum","Serranidae","Anthias","PLANKTIVORE",0.00959,3,9,1
"264","AMGU","Amblyeleotris guttata","Gobiidae","Goby","PLANKTIVORE",0.0129,3,9,1
"265","OXLO","Oxymonacanthus longirostris","Monacanthidae","Filefish","SECONDARY",0.0132,3,9,1
"266","CIKA","Cirrhilabrus katherinae","Labridae","Wrasse","PLANKTIVORE",0.014,3.0097,9,1
"267","NEAR","Neocirrhites armatus","Cirrhitidae","Hawkfish","SECONDARY",0.0165,3.1253,9,1
"268","LARU","Labroides rubrolabiatus","Labridae","Wrasse","SECONDARY",0.0058,3.171,9,1
"269","AMBI","Amblycirrhitus bimacula","Cirrhitidae","Hawkfish","SECONDARY",0.00929,3.268,9,1
"270","PTCR","Pteragogus cryptus","Labridae","Wrasse","SECONDARY",0.0138,3.018,9.5,1
"271","ECOP","Ecsenius opsifrontalis","Blenniidae","Blenny","PLANKTIVORE",0.0307,2.451,10,1
"272","CEBI","Centropyge bispinosa","Pomacanthidae","Angelfish","PRIMARY",0.03787336,2.45798686,10,1
"273","PLLA","Plectroglyphidodon lacrymatus","Pomacentridae","Damselfish","PLANKTIVORE",0.0612,2.635,10,1
"274","CELO","Centropyge loricula","Pomacanthidae","Angelfish","PRIMARY",0.0314,2.7995,10,1
"275","CEMU","Centropyge multifasciata","Pomacanthidae","Angelfish","SECONDARY",0.0314,2.7995,10,1
"276","CABE","Canthigaster bennetti","Tetraodontidae","Pufferfish","PRIMARY",0.0424,2.822,10,1
"277","CIST","Cirripectes stigmaticus","Blenniidae","Blenny","PRIMARY",0.0207,2.906,10,1
"278","SESP","Sebastapistes sp","Scorpaenidae","Scorpionfish","PISCIVORE",0.0246,2.908,10,1
"279","TATR","Taenianotus triacanthus","Scorpaenidae","Scorpionfish","PISCIVORE",0.0246,2.908,10,1
"280","SECO","Sebastapistes coniorta","Scorpaenidae","Scorpionfish","SECONDARY",0.0246,2.908,10,1
"281","PEME","Pervagor melanocephalus","Monacanthidae","Filefish","SECONDARY",0.025,2.946,10,1
"282","CISR","Cirripectes springeri","Blenniidae","Blenny","PRIMARY",0.0061,2.9963,10,1
"283","CIVR","Cirripectes variolosus","Blenniidae","Blenny","PRIMARY",0.0061,2.9963,10,1
"284","PSDI","Pseudanthias dispar","Serranidae","Anthias","PLANKTIVORE",0.0177,2.9969,10,1
"285","CIPO","Cirripectes polyzona","Blenniidae","Blenny","PRIMARY",0.0021,3,10,1
"286","MEAT","Meiacanthus atrodorsalis","Blenniidae","Blenny","PLANKTIVORE",0.0074,3,10,1
"287","LETA","Lepidozygus tapeinosoma","Pomacentridae","Damselfish","PLANKTIVORE",0.00959,3,10,1
"288","CEHE","Centropyge heraldi","Pomacanthidae","Angelfish","PRIMARY",0.0277,3,10,1
"289","CISP","Cirripectes sp","Blenniidae","Blenny","PRIMARY",0.01304,3.14966,10,1
"290","CIOB","Cirripectes obscurus","Blenniidae","Blenny","PRIMARY",0.013,3.15,10,1
"291","CIJO","Cirrhilabrus jordani","Labridae","Wrasse","PLANKTIVORE",0.0107,3.178,10,1
"292","AMPE","Amphiprion perideraion","Pomacentridae","Damselfish","PLANKTIVORE",0.0189,3.19,10,1
"293","LAPH","Labroides phthirophagus","Labridae","Wrasse","SECONDARY",0.0059,3.231,10,1
"294","POBR","Pomacentrus brachialis","Pomacentridae","Damselfish","PLANKTIVORE",0.0066,3.312,10,1
"295","PSOT","Pseudocheilinus ocellatus","Labridae","Wrasse","SECONDARY",0.0107,3.178,10.3,1
"296","PLDI","Plectroglyphidodon dickii","Pomacentridae","Damselfish","SECONDARY",0.0612,2.747,11,1
"297","CAEP","Canthigaster epilampra","Tetraodontidae","Pufferfish","PRIMARY",0.0424,2.822,11,1
"298","STAU","Stegastes aureus","Pomacentridae","Damselfish","PRIMARY",0.0349,2.9109,11,1
"299","CASO","Canthigaster solandri","Tetraodontidae","Pufferfish","PRIMARY",0.02989,2.97881,11,1
"300","CIVA","Cirripectes vanderbilti","Blenniidae","Blenny","PRIMARY",0.0061,2.9963,11,1
"301","CHAG","Chromis agilis","Pomacentridae","Damselfish","PLANKTIVORE",0.0035,3,11,1
"302","STAL","Stegastes albifasciatus","Pomacentridae","Damselfish","PRIMARY",0.0296,3,11,1
"303","PAXA","Paracirrhites xanthus","Cirrhitidae","Hawkfish","SECONDARY",0.0165,3.1253,11,1
"304","PAPR","Paraluteres prionurus","Monacanthidae","Filefish","SECONDARY",0.007,3.262,11,1
"305","DART","Microdesmidae","Microdesmidae","Wormfish","PLANKTIVORE",0.0091,3,11.5,1
"306","SEBA","Sebastapistes ballieui","Scorpaenidae","Scorpionfish","SECONDARY",0.0246,2.908,11.7,1
"307","CEVR","Centropyge vrolikii","Pomacanthidae","Angelfish","PRIMARY",0.0745,2.577,12,1
"308","PLJO","Plectroglyphidodon johnstonianus","Pomacentridae","Damselfish","SECONDARY",0.0612,2.635,12,1
"309","CHFL","Chaetodon flavocoronatus","Chaetodontidae","Butterflyfish","SECONDARY",0.045,2.814,12,1
"310","CHMU","Chaetodon multicinctus","Chaetodontidae","Butterflyfish","SECONDARY",0.045,2.814,12,1
"311","DAAL","Dascyllus albisella","Pomacentridae","Damselfish","PLANKTIVORE",0.0462,2.911,12,1
"312","CIOX","Cirrhitichthys oxycephalus","Cirrhitidae","Hawkfish","SECONDARY",0.0172,2.977,12,1
"313","HACH","Halichoeres chrysus","Labridae","Wrasse","SECONDARY",0.016,2.987,12,1
"314","CHPU","Chaetodon punctatofasciatus","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,12,1
"315","PSOL","Pseudanthias olivaceus","Serranidae","Anthias","PLANKTIVORE",0.0177,2.9969,12,1
"316","COFF","Corythoichthys flavofasciatus","Syngnathidae","Pipefishes and seahorses","PLANKTIVORE",0.001,3,12,1
"317","PTHE","Ptereleotris heteroptera","Ptereleotridae","Dartfish","PLANKTIVORE",0.0091,3,12,1
"318","PTZE","Ptereleotris zebra","Ptereleotridae","Dartfish","PLANKTIVORE",0.0091,3,12,1
"319","ANME","Anampses melanurus","Labridae","Wrasse","SECONDARY",0.0105,3,12,1
"320","HABI","Halichoeres biocellatus","Labridae","Wrasse","SECONDARY",0.0148,3,12,1
"321","CIFA","Cirrhitops fasciatus","Cirrhitidae","Hawkfish","SECONDARY",0.017,3,12,1
"322","CIEX","Cirrhilabrus exquisitus","Labridae","Wrasse","PLANKTIVORE",0.014,3.0097,12,1
"323","MANE","Macropharyngodon negrosensis","Labridae","Wrasse","SECONDARY",0.0107,3.178,12,1
"324","PSCE","Pseudojuloides cerasinus","Labridae","Wrasse","SECONDARY",0.0107,3.178,12,1
"325","LADI","Labroides dimidiatus","Labridae","Wrasse","SECONDARY",0.00585,3.23093,12,1
"326","ASTA","Aspidontus taeniatus","Blenniidae","Blenny","SECONDARY",0.02037181,3.23093426,12,1
"327","GUCU","Gunnellichthys curiosus","Microdesmidae","Wormfish","PLANKTIVORE",0.0059,3.231,12,1
"328","CEPO","Centropyge potteri","Pomacanthidae","Angelfish","PRIMARY",0.0745,2.577,12.7,1
"329","CHCI","Chaetodon citrinellus","Chaetodontidae","Butterflyfish","SECONDARY",0.0353,2.83414,13,1
"330","STLI","Stegastes lividus","Pomacentridae","Damselfish","PRIMARY",0.0349,2.9109,13,1
"331","HAMT","Halichoeres margaritaceus","Labridae","Wrasse","SECONDARY",0.0106,3,13,1
"332","CIPU","Cirrhilabrus punctatus","Labridae","Wrasse","SECONDARY",0.0138,3.018,13,1
"333","PSAT","Pseudojuloides atavai","Labridae","Wrasse","SECONDARY",0.0107,3.178,13,1
"334","CHPW","Chaetodon pelewensis","Chaetodontidae","Butterflyfish","SECONDARY",0.01533,3.29659,13,1
"335","CHMR","Chaetodon mertensii","Chaetodontidae","Butterflyfish","PRIMARY",0.0043,3.79338,13,1
"336","PEJA","Pervagor janthinosoma","Monacanthidae","Filefish","SECONDARY",0.007,3.262,13.5,1
"337","LAFO","Lactoria fornasini","Ostraciidae","Boxfish","SECONDARY",0.4029,1.928,14,1
"338","CEFL","Centropyge flavissima","Pomacanthidae","Angelfish","PRIMARY",0.0314,2.7995,14,1
"339","CACO","Canthigaster coronata","Tetraodontidae","Pufferfish","PRIMARY",0.0424,2.822,14,1
"340","AMPH","Amblygobius phalaena","Gobiidae","Goby","PRIMARY",0.01838,2.83356999,14,1
"341","CAAM","Canthigaster amboinensis","Tetraodontidae","Pufferfish","PRIMARY",0.0197,2.9174,14,1
"342","PEAS","Pervagor aspricaudus","Monacanthidae","Filefish","SECONDARY",0.025,2.946,14,1
"343","CHKL","Chaetodon kleinii","Chaetodontidae","Butterflyfish","PLANKTIVORE",0.0296,2.9895,14,1
"344","BLCH","Blenniella chrysospilos","Blenniidae","Blenny","PLANKTIVORE",0.0078,3,14,1
"345","HAME","Halichoeres melasmapomus","Labridae","Wrasse","SECONDARY",0.0126,3.0673,14,1
"346","LAXA","Labropsis xanthonota","Labridae","Wrasse","SECONDARY",0.0076,3.105,14,1
"347","PAAR","Paracirrhites arcatus","Cirrhitidae","Hawkfish","SECONDARY",0.0165,3.1253,14,1
"348","PSOC","Pseudocheilinus octotaenia","Labridae","Wrasse","SECONDARY",0.0138,3.1563,14,1
"349","LABI","Labroides bicolor","Labridae","Wrasse","SECONDARY",0.0058,3.171,14,1
"350","HAML","Halichoeres melanurus","Labridae","Wrasse","SECONDARY",0.00931,3.2615,14,1
"351","PSEV","Pseudocheilinus evanidus","Labridae","Wrasse","SECONDARY",0.0049,3.51,14,1
"352","PSSP","Pseudojuloides sp","Labridae","Wrasse","SECONDARY",0.0107,3.178,14.5,1
"353","OXBI","Oxycheilinus bimaculatus","Labridae","Wrasse","SECONDARY",0.093,2.168,15,1
"354","CHXA","Chromis xanthura","Pomacentridae","Damselfish","PLANKTIVORE",0.009,2.773,15,1
"355","CHUL","Chaetodon ulietensis","Chaetodontidae","Butterflyfish","SECONDARY",0.03114,2.87412,15,1
"356","STST","Stethojulis strigiventer","Labridae","Wrasse","SECONDARY",0.01908,2.87626,15,1
"357","CHFR","Chaetodon fremblii","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,15,1
"358","CHLT","Chaetodon lunulatus","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,15,1
"359","CHRA","Chaetodon rafflesii","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,15,1
"360","HOST","Hoplolatilus starcki","Malacanthidae","Tilefish","SECONDARY",0.0049,3,15,1
"361","THAM","Thalassoma amblycephalum","Labridae","Wrasse","PLANKTIVORE",0.0095,3,15,1
"362","HAOR","Halichoeres ornatissimus","Labridae","Wrasse","SECONDARY",0.0133,3,15,1
"363","STBA","Stethojulis balteata","Labridae","Wrasse","SECONDARY",0.015,3,15,1
"364","MAME","Macropharyngodon meleagris","Labridae","Wrasse","SECONDARY",0.0205,3,15,1
"365","CEBC","Centropyge bicolor","Pomacanthidae","Angelfish","PRIMARY",0.0211,3,15,1
"366","CHVA","Chromis vanderbilti","Pomacentridae","Damselfish","PLANKTIVORE",0.0258,3,15,1
"367","CILB","Cirrhilabrus sp","Labridae","Wrasse","PLANKTIVORE",0.014,3.0097,15,1
"368","PTEN","Pteragogus enneacanthus","Labridae","Wrasse","SECONDARY",0.0138,3.018,15,1
"369","BECH","Belonoperca chabanaudi","Serranidae","Grouper","SECONDARY",0.0134,3.031,15,1
"370","CHML","Chaetodon melannotus","Chaetodontidae","Butterflyfish","SECONDARY",0.02669,3.0486,15,1
"371","COCE","Coris centralis","Labridae","Wrasse","SECONDARY",0.0065,3.254,15,1
"372","STTR","Stethojulis trilineata","Labridae","Wrasse","SECONDARY",0.0072,3.257,15,1
"373","OSWH","Ostracion whitleyi","Ostraciidae","Boxfish","SECONDARY",0.1288,2.519,16,1
"374","CEIN","Centropyge interruptus","Pomacanthidae","Angelfish","PRIMARY",0.0745,2.577,16,1
"375","STBN","Stethojulis bandanensis","Labridae","Wrasse","PLANKTIVORE",0.03035,2.581,16,1
"376","DAAU","Dascyllus auripinnis","Pomacentridae","Damselfish","PLANKTIVORE",0.0327,2.8561,16,1
"377","STFA","Stegastes fasciolatus","Pomacentridae","Damselfish","PRIMARY",0.0349,2.9109,16,1
"378","CHMI","Chaetodon miliaris","Chaetodontidae","Butterflyfish","PLANKTIVORE",0.0296,2.9895,16,1
"379","CHQU","Chaetodon quadrimaculatus","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,16,1
"380","EXBR","Exallias brevis","Blenniidae","Blenny","SECONDARY",0.0091,2.9904,16,1
"381","LAUN","Labrichthys unilineatus","Labridae","Wrasse","SECONDARY",0.015,3,16,1
"382","VAST","Valenciennea strigata","Gobiidae","Goby","SECONDARY",0.00929,3.0455,16,1
"383","HAPR","Halichoeres prosopeion","Labridae","Wrasse","SECONDARY",0.0126,3.0673,16,1
"384","MAGE","Macropharyngodon geoffroy","Labridae","Wrasse","SECONDARY",0.0107,3.178,16,1
"385","CAVE","Cantherhines verecundus","Monacanthidae","Filefish","PRIMARY",0.007,3.262,16,1
"386","DEBA","Dendrochirus barberi","Scorpaenidae","Scorpionfish","SECONDARY",0.0246,2.908,16.5,1
"387","BLEN","Blenniidae","Blenniidae","Blenny","PLANKTIVORE",0.00218,3.90064,16.6,1
"388","SYBI","Synodus binotatus","Synodontidae","Lizardfishes","PISCIVORE",0.0064,3,17,1
"389","PSPA","Pseudanthias pascalus","Serranidae","Anthias","PLANKTIVORE",0.00959,3,17,1
"390","THQU","Thalassoma quinquevittatum","Labridae","Wrasse","SECONDARY",0.0139,3,17,1
"391","AMCH","Amphiprion chrysopterus","Pomacentridae","Damselfish","PLANKTIVORE",0.0145,3,17,1
"392","CTFL","Ctenochaetus flavicauda","Acanthuridae","Surgeonfish","PRIMARY",0.0233,3.0559,17,1
"393","CHOX","Cheilinus oxycephalus","Labridae","Wrasse","SECONDARY",0.0155,3.058,17,1
"394","INUM","Iniistius umbrilatus","Labridae","Wrasse","SECONDARY",0.0107,3.178,17.5,1
"395","APAR","Apolemichthys arcuatus","Pomacanthidae","Angelfish","SECONDARY",0.0669,2.724,18,1
"396","CHTI","Chaetodon tinkeri","Chaetodontidae","Butterflyfish","SECONDARY",0.045,2.814,18,1
"397","CHBE","Chaetodon bennetti","Chaetodontidae","Butterflyfish","SECONDARY",0.03839,2.88508,18,1
"398","PERV","Pervagor sp","Monacanthidae","Filefish","SECONDARY",0.025,2.946,18,1
"399","PESP","Pervagor spilosoma","Monacanthidae","Filefish","SECONDARY",0.025,2.946,18,1
"400","CHTR","Chaetodon trifascialis","Chaetodontidae","Butterflyfish","SECONDARY",0.02578,2.96908,18,1
"401","CHME","Chaetodon meyeri","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,18,1
"402","CHRE","Chaetodon reticulatus","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,18,1
"403","PTEV","Ptereleotris evides","Ptereleotridae","Dartfish","PLANKTIVORE",0.0091,3,18,1
"404","HAMA","Halichoeres marginatus","Labridae","Wrasse","SECONDARY",0.013,3,18,1
"405","ANTW","Anampses twistii","Labridae","Wrasse","SECONDARY",0.0147,3,18,1
"406","HEPO","Hemitaurichthys polylepis","Chaetodontidae","Butterflyfish","PLANKTIVORE",0.0265,3,18,1
"407","PACL","Parapercis clathrata","Pinguipedidae","Sandperch","SECONDARY",0.0102,3.0463,18,1
"408","CHJO","Choerodon jordani","Labridae","Wrasse","SECONDARY",0.0151,3.122,18,1
"409","CYLE","Cymolutes lecluse","Labridae","Wrasse","SECONDARY",0.0107,3.178,18,1
"410","HECH","Heniochus chrysostomus","Chaetodontidae","Butterflyfish","SECONDARY",0.01612999,3.26217,18,1
"411","BOME","Bodianus mesothorax","Labridae","Wrasse","SECONDARY",0.0201,2.9992,19,1
"412","HEVA","Heniochus varius","Chaetodontidae","Butterflyfish","SECONDARY",0.025,3,19,1
"413","PAMI","Parapercis millepunctata","Pinguipedidae","Sandperch","SECONDARY",0.0102,3.0463,19,1
"414","HASP","Halichoeres sp","Labridae","Wrasse","SECONDARY",0.01601,2.98742,19.3,1
"415","ANSP","Anampses sp","Labridae","Wrasse","SECONDARY",0.02261,2.79271,20,1
"416","ANCH","Anampses chrysocephalus","Labridae","Wrasse","SECONDARY",0.0226,2.793,20,1
"417","ABVA","Abudefduf vaigiensis","Pomacentridae","Damselfish","PLANKTIVORE",0.03,2.8,20,1
"418","CARI","Canthigaster rivulata","Tetraodontidae","Pufferfish","PRIMARY",0.0424,2.822,20,1
"419","CHUN","Chaetodon unimaculatus","Chaetodontidae","Butterflyfish","SECONDARY",0.0533,2.83328,20,1
"420","AMSC","Amanses scopas","Monacanthidae","Filefish","SECONDARY",0.0228,2.8708,20,1
"421","SCLI","Scolopsis lineata","Nemipteridae","Threadfin","SECONDARY",0.0205,2.984,20,1
"422","CHOR","Chaetodon ornatissimus","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,20,1
"423","ZESC","Zebrasoma scopas","Acanthuridae","Surgeonfish","PRIMARY",0.02905,2.99274,20,1
"424","BOAX","Bodianus axillaris","Labridae","Wrasse","SECONDARY",0.0201,2.9992,20,1
"425","CELE","Cephalopholis leopardus","Serranidae","Grouper","PISCIVORE",0.0149,3,20,1
"426","PTAN","Pterois antennata","Scorpaenidae","Scorpionfish","SECONDARY",0.0189,3.011,20,1
"427","CTCY","Ctenochaetus cyanocheilus","Acanthuridae","Surgeonfish","PRIMARY",0.0233,3.0559,20,1
"428","HEDI","Heniochus diphreutes","Chaetodontidae","Butterflyfish","PLANKTIVORE",0.0252,3.082,20,1
"429","ZEFL","Zebrasoma flavescens","Acanthuridae","Surgeonfish","PRIMARY",0.0148,3.16,20,1
"430","BOPR","Bodianus prognathus","Labridae","Wrasse","SECONDARY",0.0108,3.173,20,1
"431","CODO","Coris dorsomacula","Labridae","Wrasse","SECONDARY",0.0065,3.254,20,1
"432","COVE","Coris venusta","Labridae","Wrasse","SECONDARY",0.0065,3.254,20,1
"433","CASA","Cantherhines sandwichiensis","Monacanthidae","Filefish","PRIMARY",0.007,3.262,20,1
"434","CHLU","Chaetodon lunula","Chaetodontidae","Butterflyfish","SECONDARY",0.0296,2.9895,21,1
"435","ZERO","Zebrasoma rostratum","Acanthuridae","Surgeonfish","PRIMARY",0.0285,2.9923,21,1
"436","BOAN","Bodianus anthioides","Labridae","Wrasse","PLANKTIVORE",0.0201,2.9992,21,1
